State,year60,year70,year80,year90,year00,year10
Alabama,3267,3444,3894,4040,4447,4780
Alaska,226,303,402,550,627,710
Arizona,1302,1775,2717,3665,5131,6392
Arkansas,1786,1923,2286,2351,2673,2916
California,15717,19971,23668,29758,33872,37254
Colorado,1754,2210,2890,3294,4301,5029
Connecticut,2535,3032,3108,3287,3406,3574
Delaware,446,548,594,666,784,898
District of Columbia,764,757,638,607,572,602
Florida,4952,6791,9747,12938,15982,18801
Georgia,3943,4588,5463,6478,8186,9688
Hawaii,633,770,965,1108,1212,1360
Idaho,667,713,944,1007,1294,1568
Illinois,10081,11110,11427,11431,12419,12831
Indiana,4662,5195,5490,5544,6080,6484
Iowa,2758,2825,2914,2777,2926,3046
Kansas,2179,2249,2364,2478,2688,2853
Kentucky,3038,3221,3660,3687,4042,4339
Louisiana,3257,3645,4206,4220,4469,4533
Maine,969,994,1125,1228,1275,1328
Maryland,3101,3924,4217,4781,5296,5774
Massachusetts,5149,5689,5737,6016,6349,6548
Michigan,7823,8882,9262,9295,9938,9884
Minnesota,3414,3806,4076,4376,4919,5304
Mississippi,2178,2217,2521,2575,2845,2967
Missouri,4320,4678,4917,5117,5595,5989
Montana,675,694,787,799,902,989
Nebraska,1411,1485,1570,1578,1711,1826
Nevada,285,489,801,1202,1998,2701
New Hampshire,607,738,921,1109,1236,1316
New Jersey,6067,7171,7365,7730,8414,8792
New Mexico,951,1017,1303,1515,1819,2059
New York,16782,18241,17558,17991,18976,19378
North Carolina,4556,5084,5880,6632,8049,9535
North Dakota,632,618,653,639,642,673
Ohio,9706,10657,10798,10847,11353,11537
Oklahoma,2328,2559,3025,3146,3451,3751
Oregon,1769,2092,2633,2842,3421,3831
Pennsylvania,11319,11801,11865,11883,12281,12702
Rhode Island,859,950,947,1003,1048,1053
South Carolina,2383,2591,3121,3486,4012,4625
South Dakota,681,666,691,696,755,814
Tennessee,3567,3926,4591,4877,5689,6346
Texas,9580,11199,14226,16986,20852,25146
Utah,891,1059,1461,1723,2233,2764
Vermont,390,445,511,563,609,626
Virginia,3967,4651,5347,6189,7079,8001
Washington,2853,3413,4132,4867,5894,6725
West Virginia,1860,1744,1950,1793,1808,1853
Wisconsin,3952,4418,4706,4892,5364,5687
Wyoming,330,332,470,454,494,564
Puerto Rico,2349,2712,3196,3522,3808,3725
